category,page,page_url,pro_name,pro_price,pro_review,pro_url
trang-diem-mat,3,https://www.lazada.vn/trang-diem-mat/?page=3,Bảng phấn mắt Play Color Eyes của Lameila hàng nội địa Trung - 1126,21850,436,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-cua-lameila-hang-noi-dia-trung-1126-i223370219-s281411513.html?search=1
trang-diem-mat,3,https://www.lazada.vn/trang-diem-mat/?page=3,Chì Kẻ Mày Drawing Color Geometry Hàng Nội Địa Trung,15000.00,108,https://www.lazada.vn/products/chi-ke-may-drawing-color-geometry-hang-noi-dia-trung-i257686370-s356606560.html?search=1
trang-diem-mat,3,https://www.lazada.vn/trang-diem-mat/?page=3,BỘ 3 MASCARA MAY BELINE 3 TRONG 1,79000.00,11,https://www.lazada.vn/products/bo-3-mascara-may-beline-3-trong-1-i252203881-s335596402.html?search=1
trang-diem-mat,3,https://www.lazada.vn/trang-diem-mat/?page=3,(GIÁ RẺ) Bảng Màu Mắt Phấn Mắt 10 Màu EyeShadow Matte Ánh Nhũ  Lameila Color play L0109,23000.00,53,https://www.lazada.vn/products/gia-re-bang-mau-mat-phan-mat-10-mau-eyeshadow-matte-anh-nhu-lameila-color-play-l0109-i266434295-s386468646.html?search=1
trang-diem-mat,3,https://www.lazada.vn/trang-diem-mat/?page=3,Mascara Hai Đầu Chuốt Dài Mi Gấp 5 Lần Sivanna Super Model 5X Long,130000.00,0,https://www.lazada.vn/products/mascara-hai-dau-chuot-dai-mi-gap-5-lan-sivanna-super-model-5x-long-i275580056-s423552304.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Bảng Phấn mắt Lameila 35 màu nội địa Trung,65000.00,3,https://www.lazada.vn/products/bang-phan-mat-lameila-35-mau-noi-dia-trung-i271570634-s408020315.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Bảng Phấn Mắt 12 Màu Color Geo Lameila Eye Shadow L0102,38000.00,17,https://www.lazada.vn/products/bang-phan-mat-12-mau-color-geo-lameila-eye-shadow-l0102-i266250748-s388914647.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Chì vặn kẻ chân mày ngang chống nước Keep color,13200.00,52,https://www.lazada.vn/products/chi-van-ke-chan-may-ngang-chong-nuoc-keep-color-i248758035-s326307416.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,"Kim tuyến makeup, làm nail",39000.00,3,https://www.lazada.vn/products/kim-tuyen-makeup-lam-nail-i266512456-s386698209.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Chì kẻ chân mày phẩy sợi 4D thần thánh,65000.00,1,https://www.lazada.vn/products/chi-ke-chan-may-phay-soi-4d-than-thanh-i275656436-s423834845.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Dưỡng Mày FEG Eyebrow Enhancer Dài Nhanh Sau 7 Ngày,149000,0,https://www.lazada.vn/products/duong-may-feg-eyebrow-enhancer-dai-nhanh-sau-7-ngay-i275862367-s424448647.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Phấn mắt có nhũ Bbia Pigment - 06 Daylight (Màu bạc ánh kim cương),90000.00,61,https://www.lazada.vn/products/phan-mat-co-nhu-bbia-pigment-06-daylight-mau-bac-anh-kim-cuong-i134733500-s136412780.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Bảng phấn mắt 35 màu Lameila,64000.00,16,https://www.lazada.vn/products/bang-phan-mat-35-mau-lameila-i246165827-s316093034.html?search=1
