时间戳记,Your Bitcointalk Username,Your Forum Profile Link,Your Telegram name,Your Ethereum Address,
2018/04/18 8:05:30 下午 GMT+8,DeathAndTaxes,https://bitcointalk.org/index.php?actionprofile;u41048,mamachueo,0xD21FE3817E8e5aa727052FfBF0cD3d0fa3B2DCf5,in
2018/04/18 8:05:31 下午 GMT+8,phexchanger,https://bitcointalk.org/index.php?actionprofile;u1233378 ,roltorra,0x551fc997DA462af2E63e774869aF975d34aAE3a2,in
2018/04/18 8:05:33 下午 GMT+8,Saua,https://bitcointalk.org/index.php?actionprofile;u1026379,mamachansan,0xcc57949e58C3831c58acE3A73C11De6c78B0d46d,in
2018/04/18 8:05:46 下午 GMT+8,GuinnessBIT,https://bitcointalk.org/index.php?actionprofile;u51050,lalatran,0xd35aB9621d19653E9fcffCe5CB5b842a76d7A37d,in
2018/04/18 8:05:52 下午 GMT+8,ErebusBat,https://bitcointalk.org/index.php?actionprofile;u58488,EloiseKnight,0x3aC01Bba5Ae3FAf89beA9e2E5Bdf626a79f165Cb,in
2018/04/18 8:05:55 下午 GMT+8,2weiX,https://bitcointalk.org/index.php?actionprofile;u18595,rainbowafterrain,0x73Be762daE006C8B6feD7E0fdeaBc2a8949B1436,in
2018/04/18 8:06:02 下午 GMT+8,check_status,https://bitcointalk.org/index.php?actionprofile;u51517,JacobSullivana,0xE10de24f15357F0A445989361a6f05159770bee1,in
2018/04/18 8:06:09 下午 GMT+8,leovanderlaak,https://bitcointalk.org/index.php?actionprofile;u1025596,lolvelvevevs,0x5E9a438FA176ce08bbAE43a538491797eCA1c262,in
2018/04/18 8:06:14 下午 GMT+8,dx_twisted,https://bitcointalk.org/index.php?actionprofile;u861507,oikjjk,0xE2A47642579dc79b1EF5e4ab0309017082Cbcb03,not in
2018/04/18 8:06:18 下午 GMT+8,ingrownpocket,https://bitcointalk.org/index.php?actionprofile;u52912,osakachane,0x70fA9B9E2Cd03ee23f515CC484Ef41b2bb556C3b,in
2018/04/18 8:06:26 下午 GMT+8,stevegee58,https://bitcointalk.org/index.php?actionprofile;u48895,slowmotionwindow,0x1081938140BE73f5F39763B2da250eAA840E8CC8,in
2018/04/18 8:06:38 下午 GMT+8,webosftw,https://bitcointalk.org/index.php?actionprofile;u33025,changesport,0x90d0FF2bC1F69a14fa3A1581F0A43A877017AFC1,in
2018/04/18 8:06:45 下午 GMT+8,Quickseller,https://bitcointalk.org/index.php?actionprofile;u358020,babiculare,0x5bC2cD51B1BCa692cF078f2d80234C00cA46d049,in
2018/04/18 8:06:46 下午 GMT+8,MoTLD,https://bitcointalk.org/index.php?actionprofile;u56609,nonannonan,0x1f943E0Ca6F71b6e3C9C89BC75458e161165D9F0,in
2018/04/18 8:06:56 下午 GMT+8,Oppang Inamo,https://bitcointalk.org/index.php?actionprofile;u1117995,ototgau,0xFC369c58F5692590b0c3955F6b7F7765Ae0C9E28,not in
2018/04/18 8:07:04 下午 GMT+8,c4n10,https://bitcointalk.org/index.php?actionprofile;u66206,LilyClarke,0xcc3bea74e88712D711a7E1Ad76c2e3Ebc367e8c3,in
2018/04/18 8:07:07 下午 GMT+8,autumnraynefyr,https://bitcointalk.org/index.php?actionprofile;u560332,paracetamol500,0x67cEDE3D830d64f640cc142C67D12Eb3F3124E76,in
2018/04/18 8:07:10 下午 GMT+8,nibor,https://bitcointalk.org/index.php?actionprofile;u37999,Amir_hzk82,0xB60CcA1dDC7B4cBbc15a3C6097ecc9A32F3Dc808,not in
2018/04/18 8:07:12 下午 GMT+8,fizzisist,https://bitcointalk.org/index.php?actionprofile;u27330,HERAkills,0xbE08dfD9B2fEfDCc4E0E1198d03b1FFe4A07EcCE,in
2018/04/18 8:07:13 下午 GMT+8,jahtex,https://bitcointalk.org/index.php?actionprofile;u1016502,nicolasjavan,0x1750616074eeBA1338a004af0D7d221f011e994b,in
2018/04/18 8:07:35 下午 GMT+8,wtfvanity,https://bitcointalk.org/index.php?actionprofile;u68927,marwa1_8,0x5a0c5C1cCB49B94Adc7abf86dDd383afB1f731D7,not in
2018/04/18 8:07:38 下午 GMT+8,OMGyasuo,https://bitcointalk.org/index.php?actionprofile;u945586,rebpro,0x9C83c1C5c86aE155dF3a1a7Ab9B99eDA236c8F1D,in
2018/04/18 8:07:44 下午 GMT+8,Docaspen,https://bitcointalk.org/index.php?actionprofile;u1036355,nataliyasd,0xE8b1d35BE2FE10387E513ae0D2b21D2dDAdb05A3,in
2018/04/18 8:07:45 下午 GMT+8,wigglyuk,https://bitcointalk.org/index.php?actionprofile;u41138,jangjang215,0x493C26BEa9C226DD90b23d8F9A68990E49d689A6,in
