,Unnamed: 0,名字,投票人数,类型,产地,上映时间,时长,年代,评分,首映地点
15278,15278,垃圾勇士,660.0,纪录片,英国,2007-07-02 00:00:00,86,2007,8.7,美国
15279,15279,恋爱进行时,11152.0,爱情,韩国,2003-11-24 00:00:00,104,2003,7.6,韩国
15280,15280,拉丁男孩的天空,1034.0,剧情,美国,2007-05-21 00:00:00,84,2007,7.6,美国
15281,15281,拉凡德山的暴徒,757.0,喜剧,英国,1951-06-26 00:00:00,81,1951,7.6,美国
15282,15282,拉芙蕾丝,7913.0,传记,美国,2013-08-09 00:00:00,93,2013,6.4,美国
15283,15283,拉孔布·吕西安,755.0,剧情,法国,1974-01-30 00:00:00,138,1974,8.2,美国
15284,15284,拉拉队员都死了,888.0,喜剧,美国,2013-09-05 00:00:00,90,2013,4.8,加拿大
15285,15285,拉拉向前冲,220.0,剧情,德国,2008-06-30 00:00:00,90,2008,6.5,美国
15286,15286,周六夜现场,113.0,喜剧,美国,2015-05-09 00:00:00,60,2015,6.0,美国
15287,15287,拉里·克劳,5621.0,剧情,美国,2011-07-01 00:00:00,98,2011,6.6,美国
15288,15288,拉丽莎 Ларис,34.0,短片,俄罗斯,1980-06-02 00:00:00,20,1980,8.2,美国
15289,15289,拉链超人组,48.0,动画,日本,2014-10-30 00:00:00,11,2014,5.5,美国
15290,15290,拉链小孩,154.0,动画,日本,2011-06-30 00:00:00,4,2011,7.4,美国
15291,15291,拉面女孩,789.0,剧情,美国,2008-02-08 00:00:00,102,2008,6.2,美国
15292,15292,拉面人生,971.0,剧情,韩国,2005-02-18 00:00:00,120,2005,7.3,韩国
15293,15293,拉姆,368.0,剧情,美国,2015-05-20 00:00:00,96,2015,6.4,戛纳电影节
15294,15294,拉塞尔·皮特斯：红白褐,1066.0,喜剧,美国,2008-09-30 00:00:00,80,2008,9.3,美国
15295,15295,拉塞尔·皮特斯：绿卡之旅,259.0,喜剧,加拿大,2011-07-01 00:00:00,58,2011,8.3,美国
15296,15296,拉塞尔·皮特斯：幽默无国界,611.0,舞台艺术,美国,2006-06-28 00:00:00,72,2006,9.0,美国
15297,15297,裸夜淫魔,113.0,动作,美国,1994-05-25 00:00:00,60,1994,3.8,美国
15298,15298,拉斯卡尔,140.0,喜剧,法国,2009-06-17 00:00:00,96,2009,8.3,美国
15299,15299,黑色大丽花,113.0,剧情,美国,2012-09-15 00:00:00,60,2012,3.2,美国
